有價證券代號及名稱,國際證券辨識號碼(ISIN,Code),上市日,市場別,產業別,CFICode,備註
上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證
700001,昇達科統一2C購03,TW23Z7000011,2023/03/06,上櫃,,RWSCCA,
700002,健喬統一2B購03,TW23Z7000029,2023/03/06,上櫃,,RWSCCA,
700003,群聯統一2A購04,TW23Z7000037,2023/03/06,上櫃,,RWSCCA,
700004,榮剛統一2A購01,TW23Z7000045,2023/03/06,上櫃,,RWSCCA,
700005,茂迪第一29購01,TW23Z7000052,2023/03/06,上櫃,,RWSCCA,
700006,台半元大29購05,TW23Z7000060,2023/03/06,上櫃,,RWSCCA,
700007,光頡元大29購01,TW23Z7000078,2023/03/06,上櫃,,RWSCCA,
700008,明安元大29購02,TW23Z7000086,2023/03/06,上櫃,,RWSCCA,
700009,昇達科元大2A購01,TW23Z7000094,2023/03/06,上櫃,,RWSCCA,
700010,欣銓元大29購01,TW23Z7000102,2023/03/06,上櫃,,RWSCCA,
700011,金居元大29購02,TW23Z7000110,2023/03/06,上櫃,,RWSCCA,
700012,信驊元大29購02,TW23Z7000128,2023/03/06,上櫃,,RWSCCA,
700013,信驊元大29購03,TW23Z7000136,2023/03/06,上櫃,,RWSCCA,
700014,信驊元大2B購01,TW23Z7000144,2023/03/06,上櫃,,RWSCCA,
700015,家登元大2A購02,TW23Z7000151,2023/03/06,上櫃,,RWSCCA,
700016,神盾元大29購01,TW23Z7000169,2023/03/06,上櫃,,RWSCCA,
700017,神盾元大2B購01,TW23Z7000177,2023/03/06,上櫃,,RWSCCA,
700018,晶宏元大2A購01,TW23Z7000185,2023/03/06,上櫃,,RWSCCA,
700019,晶焱元大29購01,TW23Z7000193,2023/03/06,上櫃,,RWSCCA,
700020,群聯元大29購01,TW23Z7000201,2023/03/06,上櫃,,RWSCCA,
700021,鈺太元大29購02,TW23Z7000219,2023/03/06,上櫃,,RWSCCA,
700022,榮剛元大2A購02,TW23Z7000227,2023/03/06,上櫃,,RWSCCA,
700023,廣明元大29購01,TW23Z7000235,2023/03/06,上櫃,,RWSCCA,
700024,廣積元大2A購01,TW23Z7000243,2023/03/06,上櫃,,RWSCCA,
700025,譜瑞元大29購04,TW23Z7000250,2023/03/06,上櫃,,RWSCCA,
700026,譜瑞元大2A購05,TW23Z7000268,2023/03/06,上櫃,,RWSCCA,
700027,譜瑞元大2B購04,TW23Z7000276,2023/03/06,上櫃,,RWSCCA,
700028,元太國票2A購02,TW23Z7000284,2023/03/06,上櫃,,RWSCCA,
700029,台星科國票2A購01,TW23Z7000292,2023/03/06,上櫃,,RWSCCA,
700030,由田國票2A購01,TW23Z7000300,2023/03/06,上櫃,,RWSCCA,
700031,兆利國票29購01,TW23Z7000318,2023/03/06,上櫃,,RWSCCA,
700032,欣銓國票2A購01,TW23Z7000326,2023/03/06,上櫃,,RWSCCA,
700033,信驊國票2A購02,TW23Z7000334,2023/03/06,上櫃,,RWSCCA,
700034,頎邦國票2A購01,TW23Z7000342,2023/03/06,上櫃,,RWSCCA,
700035,德微國票2A購01,TW23Z7000359,2023/03/06,上櫃,,RWSCCA,
700036,大樹群益29購01,TW23Z7000367,2023/03/06,上櫃,,RWSCCA,
700037,元太群益29購01,TW23Z7000375,2023/03/06,上櫃,,RWSCCA,
700038,光頡群益2A購01,TW23Z7000383,2023/03/06,上櫃,,RWSCCA,
700039,合一群益29購01,TW23Z7000391,2023/03/06,上櫃,,RWSCCA,
700040,信驊群益29購04,TW23Z7000409,2023/03/06,上櫃,,RWSCCA,
700041,創惟群益29購01,TW23Z7000417,2023/03/06,上櫃,,RWSCCA,
